hit-2SG/3SG	hit-3SG
grab/hold-2SG/3SG	grab/hold-3SG
hold-2SG/3SG	hold-3SG
work-2SG/3SG	work-3SG
shut-2SG/3SG	shut-3SG
forget-2SG/3SG	forget-3SG
sell-2SG/3SG	sell-3SG
buy/scare-2SG/3SG	buy/scare-3SG
wash-2SG/3SG	wash-3SG
spread-2SG/3SG	spread-3SG
learn-2SG/3SG	learn-3SG
play-2SG/3SG	play-3SG
jump-2SG/3SG	jump-3SG
cry-2SG/3SG	cry-3SG
laugh-2SG/3SG	laugh-3SG
burn-2SG/3SG	burn-3SG
call-2SG/3SG	call-3SG
call/knock-2SG/3SG	call/knock-3SG
send-2SG/3SG	send-3SG
pull-2SG/3SG	pull-3SG
push-2SG/3SG	push-3SG
break-2SG/3SG	break-3SG
REFL-3PL-PRES/2SG.PRES/PL	REFL-3PL-PRES
Aleppo-1SG/LOC	 Aleppo-LOC
where/it.was/which-SG-2SG/-VITR-3SG-GEN/M/OBL.SG	which-SG-2SG-GEN
someone-PRES/2SG.PRES/PL	someone-PRES/PL
doctor-3SG/2PL/OBL.SG/2PL.IMP	doctor-3SG/OBL.SG
someone-3SG/2PL/OBL.SG/2PL.IMP	someone-3SG/OBL.SG
country-1PL/NEG/OBL.PL/DEF	country-OBL.PL/DEF
mucus-SG-2SG/-VITR-3SG	mucus-SG-2SG
know-VITR/INDEF/3PL/REM/and	know-VITR/3PL/REM
VTR-PFV-2SG-SOC/COND/3PL	VTR-PFV-2SG-COND/3PL
house-1SG/LOC	house-LOC
throw/who-PRES	who-PRES
bring.PFV-3SG/2PL/OBL.SG/2PL.IMP	bring.PFV-2PL/2PL.IMP
want-3SG/2PL/OBL.SG/2PL.IMP	want-2PL/2PL.IMP
say/good-3SG/2PL/OBL.SG/2PL.IMP	say-2PL/2PL.IMP
go-3SG/2PL/OBL.SG/2PL.IMP	go-2PL/2PL.IMP
know/spray-3SG/2PL/OBL.SG/2PL.IMP	know/spray-2PL/2PL.IMP
do/make-3SG/2PL/OBL.SG/2PL.IMP	do/make-2PL/2PL.IMP
come-3SG/2PL/OBL.SG/2PL.IMP	come-2PL/2PL.IMP
see-3SG/2PL/OBL.SG/2PL.IMP	see-2PL/2PL.IMP
look.after-3SG/2PL/OBL.SG/2PL.IMP	look.after-2PL/2PL.IMP
give-3SG/2PL/OBL.SG/2PL.IMP	give-2PL/2PL.IMP
give.birth-3SG/2PL/OBL.SG/2PL.IMP	give.birth-2PL/2PL.IMP
