-à	-GEN/M/OBL.SG
-r-eend-imaan-aa	-PFV-3PL-1PL-REM
-r-eend-imaan-ee	-PFV-3PL-1PL-PRES
-r-eend-ir	-PFV-3PL-2SG
-r-eend-ir-aa	-PFV-3PL-2SG-REM
-r-eend-ir-ee	-PFV-3PL-2SG-PRES
-r-eend-iraa	-PFV-3PL-2PL
-r-eend-iraan	-PFV-3PL-2PL
-r-eend-iraan-aa	-PFV-3PL-2PL-REM
-r-eend-iraan-ee	-PFV-3PL-2PL-PRES
-r-eend-is	-PFV-3PL-3SG
-r-eend-is-aa	-PFV-3PL-3SG-REM
-r-eend-is-ee	-PFV-3PL-3SG-PRES
-r-eend-isaa	-PFV-3PL-3PL
-r-eend-isaan	-PFV-3PL-3PL
-r-eend-isaan-aa	-PFV-3PL-3PL-REM
-r-eend-isaan-ee	-PFV-3PL-3PL-PRES
-r-ees	-PFV-2PL
-r-ees-aa	-PFV-2PL-REM
-r-ees-ee	-PFV-2PL-PRES
-r-ees-im	-PFV-2PL-1SG
-r-ees-im-aa	-PFV-2PL-1SG-REM
-r-ees-im-ee	-PFV-2PL-1SG-PRES
-r-ees-imaa	-PFV-2PL-1PL
-r-ees-imaan	-PFV-2PL-1PL
-r-ees-imaan-aa	-PFV-2PL-1PL-REM
-r-ees-imaan-ee	-PFV-2PL-1PL-PRES
-r-ees-iraa	-PFV-2PL-2PL
-r-ees-iraan	-PFV-2PL-1PL
-r-ees-iraan-aa	-PFV-2PL-1PL-REM
-r-ees-iraan-ee	-PFV-2PL-1PL-PRES
-r-ees-is	-PFV-2PL-3SG
-r-ees-is-aa	-PFV-2PL-3SG-REM
-r-ees-is-ee	-PFV-2PL-3SG-PRES
-r-om	-PFV-1SG
-r-om-aa	-PFV-1SG-REM
-r-om-ee	-PFV-1SG-PRES
-r-om-ir	-PFV-1SG-2SG
-r-om-ir-aa	-PFV-1SG-2SG-REM
-r-om-ir-ee	-PFV-1SG-2SG-PRES
-r-om-iraa	-PFV-1SG-2PL
-r-om-iraan	-PFV-1SG-2PL
-r-om-iraan-aa	-PFV-1SG-2PL-REM
-r-om-iraan-ee	-PFV-1SG-2PL-PRES
-r-om-is	-PFV-1SG-3SG
-r-om-is-aa	-PFV-1SG-3SG-REM
-r-om-is-ee	-PFV-1SG-3SG-PRES
-r-om-isaa	-PFV-1SG-3PL
-r-om-isaan	-PFV-1SG-3PL
-r-om-isaan-aa	-PFV-1SG-3PL-REM
-r-om-isaan-ee	-PFV-1SG-3PL-PRES
-r-or	-PFV-2SG
-r-or-ee	-PFV-2SG-PRES
-r-or-im	-PFV-2SG-1SG
-r-or-im-aa	-PFV-2SG-1SG-REM
-r-or-im-ee	-PFV-2SG-1SG-PRES
-r-or-imaa	-PFV-2SG-1PL
-r-or-imaan	-PFV-2SG-1PL
-r-or-imaan-aa	-PFV-2SG-1PL-REM
-r-or-imaan-ee	-PFV-2SG-1PL-PRES
-r-or-is	-PFV-2SG-3SG
-r-or-is-aa	-PFV-2SG-3SG-REM
-r-or-is-ee	-PFV-2SG-3SG-PRES
-r-or-isaa	-PFV-2SG-3PL
-r-or-isaan	-PFV-2SG-3PL
-r-or-isaan-aa	-PFV-2SG-3PL-REM
-r-or-isaan-ee	-PFV-2SG-3PL-PRES
-r-os	-PFV-3SG
-r-os-im	-PFV-3SG-1SG
-r-os-im-aa	-PFV-3SG-1SG-REM
-r-os-im-ee	-PFV-3SG-1SG-PRES
-r-os-imaa	-PFV-3SG-1PL
-r-os-imaan	-PFV-3SG-1PL
-r-os-imaan-aa	-PFV-3SG-1PL-REM
-r-os-imaan-ee	-PFV-3SG-1PL-PRES
-r-os-ir	-PFV-3SG-2SG
-r-os-ir-aa	-PFV-3SG-2SG-REM
-r-os-ir-ee	-PFV-3SG-2SG-PRES
-r-os-iraa	-PFV-3SG-2PL
-r-os-iraan	-PFV-3SG-2PL
-r-os-iraan-aa	-PFV-3SG-2PL-REM
-r-os-iraan-ee	-PFV-3SG-2PL-PRES
-r-os-is	-PFV-3SG-3SG
-r-os-is-aa	-PFV-3SG-3SG-REM
-r-os-is-ee	-PFV-3SG-3SG-PRES
-r-os-isaa	-PFV-3SG-3PL
-r-os-isaan	-PFV-3SG-3PL
-r-os-isaan-aa	-PFV-3SG-3PL-REM
-r-os-isaan-ee	-PFV-3SG-3PL-PRES
-r-os-s	-PFV-3SG-3SG
-r-os-s-aa	-PFV-3SG-3SG-REM
-r-os-s-ee	-PFV-3SG-3SG-PRES
-r-os-san	-PFV-3SG-3PL
-d-à	-PFV-3SG
-d-aa	-PFV-REM
-d-ee	-PFV-PRES
-d-een	-PFV-1PL
-d-een-aa	-PFV-1PL-REM
-d-een-ee	-PFV-1PL-PRES
-d-een-ir	-PFV-1PL-2SG
-d-een-ir-aa	-PFV-1PL-2SG-REM
-d-een-ir-ee	-PFV-1PL-2SG-PRES
-d-een-iraa	-PFV-1PL-2PL
-d-een-iraan	-PFV-1PL-2PL
-d-een-iraan-aa	-PFV-1PL-2PL-REM
-d-een-iraan-ee	-PFV-1PL-2PL-PRES
-d-een-is	-PFV-1PL-3SG
-d-een-is-aa	-PFV-1PL-3SG-REM
-d-een-is-ee	-PFV-1PL-3SG-PRES
-d-een-isaa	-PFV-1PL-3PL
-d-een-isaan	-PFV-1PL-3PL
-d-een-isaan-aa	-PFV-1PL-3PL-REM
-d-een-isaan-ee	-PFV-1PL-3PL-PRES
-d-een-saan-ee	-PFV-1PL-3PL-PRES
-d-een-saan-aa	-PFV-1PL-3PL-REM
-d-een-saan	-PFV-1PL-3PL
-d-eend	-PFV-3PL
-d-eend-aa	-PFV-3PL-REM
-d-eend-à	-PFV-3PL-REM
-d-eend-ee	-PFV-3PL-PRES
-d-eend-im	-PFV-3PL-1SG
-d-eend-im-aa	-PFV-3PL-1SG-REM
-d-eend-im-ee	-PFV-3PL-1SG-PRES
-d-eend-imaa	-PFV-3PL-1PL
-d-eend-imaan	-PFV-3PL-1PL
-d-eend-imaan-aa	-PFV-3PL-1PL-REM
-d-eend-imaan-ee	-PFV-3PL-1PL-PRES
-d-eend-ir	-PFV-3PL-2SG
-d-eend-ir-aa	-PFV-3PL-2SG-REM
-d-eend-ir-ee	-PFV-3PL-2SG-PRES
-d-eend-iraa	-PFV-3PL-2PL
-d-eend-iraan	-PFV-3PL-2PL
-d-eend-iraan-aa	-PFV-3PL-2PL-REM
-d-eend-iraan-ee	-PFV-3PL-2PL-PRES
-d-eend-is	-PFV-3PL-3SG
-d-eend-is-aa	-PFV-3PL-3SG-REM
-d-eend-is-ee	-PFV-3PL-3SG-PRES
-d-eend-isaa	-PFV-3PL-3PL
-d-eend-isaan	-PFV-3PL-3PL
-eend-isaa	-3PL-3PL
-d-eend-isaan-aa	-PFV-3PL-3PL-REM
-d-eend-isaan-ee	-PFV-3PL-3PL-PRES
-d-ees	-PFV-2PL
-d-ees-aa	-PFV-2PL-REM
-d-ees-ee	-PFV-2PL-PRES
-d-ees-im	-PFV-2PL-1SG
-d-ees-im-aa	-PFV-2PL-1SG-REM
-d-ees-im-ee	-PFV-2PL-1SG-PRES
-d-ees-imaa	-PFV-2PL-1PL
-d-ees-imaan	-PFV-2PL-1PL
-d-ees-imaan-aa	-PFV-2PL-1PL-REM
-d-ees-imaan-ee	-PFV-2PL-1PL-PRES
-d-ees-iraa	-PFV-2PL-2PL
-d-ees-iraan	-PFV-2PL-1PL
-d-ees-iraan-aa	-PFV-2PL-1PL-REM
-d-ees-iraan-ee	-PFV-2PL-1PL-PRES
-d-ees-is	-PFV-2PL-3SG
-d-ees-is-aa	-PFV-2PL-3SG-REM
-d-ees-is-ee	-PFV-2PL-3SG-PRES
-d-om	-PFV-1SG
-d-om-aa	-PFV-1SG-REM
-d-om-ee	-PFV-1SG-PRES
-d-om-ir	-PFV-1SG-2SG
-d-om-ir-aa	-PFV-1SG-2SG-REM
-d-om-ir-ee	-PFV-1SG-2SG-PRES
-d-om-iraa	-PFV-1SG-2PL
-d-om-iraan	-PFV-1SG-2PL
-d-om-iraan-aa	-PFV-1SG-2PL-REM
-d-om-iraan-ee	-PFV-1SG-2PL-PRES
-d-om-is	-PFV-1SG-3SG
-d-om-is-aa	-PFV-1SG-3SG-REM
-d-om-is-ee	-PFV-1SG-3SG-PRES
-d-om-isaa	-PFV-1SG-3PL
-d-om-isaan	-PFV-1SG-3PL
-d-om-isaan-aa	-PFV-1SG-3PL-REM
-d-om-isaan-ee	-PFV-1SG-3PL-PRES
-d-or	-PFV-2SG
-d-or-ee	-PFV-2SG-PRES
-d-or-aa	-PFV-2SG-REM
-d-or-im	-PFV-2SG-1SG
-d-or-im-aa	-PFV-2SG-1SG-REM
-d-or-im-ee	-PFV-2SG-1SG-PRES
-d-or-imaa	-PFV-2SG-1PL
-d-or-imaan	-PFV-2SG-1PL
-d-or-imaan-aa	-PFV-2SG-1PL-REM
-d-or-imaan-ee	-PFV-2SG-1PL-PRES
-d-or-is	-PFV-2SG-3SG
-d-or-is-aa	-PFV-2SG-3SG-REM
-d-or-is-ee	-PFV-2SG-3SG-PRES
-d-or-isaa	-PFV-2SG-3PL
-d-or-isaan	-PFV-2SG-3PL
-d-or-isaan-aa	-PFV-2SG-3PL-REM
-d-or-isaan-ee	-PFV-2SG-3PL-PRES
-d-os	-PFV-3SG
-d-os-im	-PFV-3SG-1SG
-d-os-im-aa	-PFV-3SG-1SG-REM
-d-os-im-ee	-PFV-3SG-1SG-PRES
-d-os-imaa	-PFV-3SG-1PL
-d-os-imaan	-PFV-3SG-1PL
-d-os-imaan-aa	-PFV-3SG-1PL-REM
-d-os-imaan-ee	-PFV-3SG-1PL-PRES
-d-os-ir	-PFV-3SG-2SG
-d-os-ir-aa	-PFV-3SG-2SG-REM
-d-os-ir-ee	-PFV-3SG-2SG-PRES
-d-os-iraa	-PFV-3SG-2PL
-d-os-iraan	-PFV-3SG-2PL
-d-os-iraan-aa	-PFV-3SG-2PL-REM
-d-os-iraan-ee	-PFV-3SG-2PL-PRES
-d-os-is	-PFV-3SG-3SG
-d-os-is-aa	-PFV-3SG-3SG-REM
-d-os-is-ee	-PFV-3SG-3SG-PRES
-d-os-isaa	-PFV-3SG-3PL
-d-os-isaan	-PFV-3SG-3PL
-d-os-isaan-aa	-PFV-3SG-3PL-REM
-d-os-isaan-ee	-PFV-3SG-3PL-PRES
-d-os-s	-PFV-3SG-3SG
-d-os-saa	-PFV-3SG-3PL
-os-saan	-3SG-3PL
-os-saan-ee	-3SG-3PL-PRES
-os-saan-aa	-3SG-3PL-REM
-d-os-s-aa	-PFV-3SG-3SG-REM
-d-os-s-ee	-PFV-3SG-3SG-PRES
-d-os-san	-PFV-3SG-3PL
-ee	-PRES/2SG.PRES/PL
-ee-m	-PL-1SG
-ee-maa	-PL-1PL
-ee-maan	-PL-1PL
-ee-r	-PL-2SG
-ee-raa	-PL-2PL
-ee-raan	-PL-2PL
-ee-s	-PL-3SG
-ee-saa	-PL-3PL
-ee-saan	-PL-3PL
-een	-DEF
-een-mà	-DEF-LOC
-een-m-aa	-DEF-LOC-REM
-een-tà	-DEF-DAT
-een-t-aa	-DEF-DAT-REM
-een-kii	-DEF-ABL
-ees	-OBL.SG
-h	-VITR
-h-r-à	-VITR-PFV-3SG
-h-r-een	-VITR-PFV-1PL
-h-r-eend	-VITR-PFV-3PL
-h-r-ees	-VITR-PFV-2PL
-h-r-om	-VITR-PFV-1SG
-h-r-or	-VITR-PFV-2SG
-ho	-VITR
-ho-m-ee	-VITR-1SG-PRES
-ho-n-ee	-VITR-1PL-PRES
-ho-nd-ee	-VITR-3PL-PRES
-ho-r-ee	-VITR-3SG-PRES
-ho-s-ee	-VITR-2PL-PRES
-ho-w-ee	-VITR-2SG-PRES
-i	-OBL.SG
-ičč-aa	-SUBJ-2SG
-ičč-im	-SUBJ-1SG
-ičč-in	-SUBJ-1PL
-ičč-ind	-SUBJ-3PL
-ičč-ir	-SUBJ-3SG
-ičč-is	-SUBJ-2PL
-id-or-aa	-PFV-2SG-REM
-ii	-F/3SG/2SG.PRES/2SG.IMP
-ii-r-à	-VITR-PFV-3SG
-ii-r-aa	-VITR-PFV-REM
-ii-r-ee	-VITR-PFV-PRES
-ii-r-een	-VITR-PFV-1PL
-ii-r-eend	-VITR-PFV-3PL
-ii-r-ees	-VITR-PFV-2PL
-ii-r-om	-VITR-PFV-1SG
-ii-r-or	-VITR-PFV-2SG
-ii-r-een-ee	-VITR-PFV-1PL-PRES
-ii-r-eend-ee	-VITR-PFV-3PL-PRES
-ii-r-ees-ee	-VITR-PFV-2PL-PRES
-ii-r-om-ee	-VITR-PFV-1SG-PRES
-ii-r-or-ee	-VITR-PFV-2SG-PRES
-ii-r-een-aa	-VITR-PFV-1PL-REM
-ii-r-eend-aa	-VITR-PFV-3PL-REM
-ii-r-ees-aa	-VITR-PFV-2PL-REM
-ii-r-om-aa	-VITR-PFV-1SG-REM
-ii-r-or-aa	-VITR-PFV-2SG-REM
-iin	-PL
-iiin	-PL
-iiš	-DER
-ika	-with/-DIR
-ikaa	-DIR
-ikee	-DIR
-ikkee	-DIR
-kkee	-DIR
-ikeeree	-BEN
-ikeer	-BEN
-ikii	-ABL
-im	-1SG/LOC
-im-aa	-1SG-REM
-im-ee	-1SG-PRES
-im-ir-aa	-1SG-2SG-REM
-im-ir-ee	-1SG-2SG-PRES
-im-iraan-aa	-1SG-2PL-REM
-im-iraan-ee	-1SG-2PL-PRES
-im-is-aa	-1SG-3SG-REM
-im-is-ee	-1SG-3SG-PRES
-im-isaan-aa	-1SG-3PL-REM
-im-isaan-ee	-1SG-3PL-PRES
-im-r-aa	-1SG-2SG-REM
-im-r-ee	-1SG-2SG-PRES
-im-raan-aa	-1SG-2PL-REM
-im-raan-ee	-1SG-2PL-PRES
-im-s-aa	-1SG-3SG-REM
-im-s-ee	-1SG-3SG-PRES
-im-saan-aa	-1SG-3PL-REM
-im-saan-ee	-1SG-3PL-PRES
-m-aa	-1SG-REM
-m-ee	-1SG-PRES
-m-ir-aa	-1SG-2SG-REM
-m-ir-ee	-1SG-2SG-PRES
-m-iraan-aa	-1SG-2PL-REM
-m-iraan-ee	-1SG-2PL-PRES
-m-is-aa	-1SG-3SG-REM
-m-is-ee	-1SG-3SG-PRES
-m-isaan-aa	-1SG-3PL-REM
-m-isaan-ee	-1SG-3PL-PRES
-m-r-aa	-1SG-2SG-REM
-m-r-ee	-1SG-2SG-PRES
-m-raan-aa	-1SG-2PL-REM
-m-raan-ee	-1SG-2PL-PRES
-m-s-aa	-1SG-3SG-REM
-m-s-ee	-1SG-3SG-PRES
-m-saan-aa	-1SG-3PL-REM
-m-saan-ee	-1SG-3PL-PRES
-imà	-LOC
-imaan	-1PL
-in	-1PL/NEG/OBL.PL/DEF
-in-	-NEG-
-ni-	-NEG-
in-	NEG-
nin-	NEG-
nin-yee	NEG-PRES
inn-	NEG-
inn-ee	NEG-PRES
inn-aa	NEG-REM
-in-aa	-1PL-REM
-in-ee	-1PL-PRES
-in-kar-d-een-ir	-NEG-VTR-PFV-1PL-2SG
-in-kar-d-een-ir-aa	-NEG-PFV-1PL-2SG-REM
-in-kar-d-een-ir-ee	-NEG-PFV-1PL-2SG-PRES
-in-kar-d-een-iraa	-NEG-VTR-PFV-1PL-2PL
-in-kar-d-een-iraan	-NEG-VTR-PFV-1PL-2PL
-in-kar-d-een-iraan-aa	-NEG-PFV-1PL-2PL-REM
-in-kar-d-een-iraan-ee	-NEG-PFV-1PL-2PL-PRES
-in-kar-d-een-is	-NEG-VTR-PFV-1PL-3SG
-in-kar-d-een-is-aa	-NEG-PFV-1PL-3SG-REM
-in-kar-d-een-is-ee	-NEG-PFV-1PL-3SG-PRES
-in-kar-d-een-isaa	-NEG-VTR-PFV-1PL-3PL
-in-kar-d-een-isaan	-NEG-VTR-PFV-1PL-3PL
-in-kar-d-een-isaan-aa	-NEG-PFV-1PL-3PL-REM
-in-kar-d-een-isaan-ee	-NEG-PFV-1PL-3PL-PRES
-in-kar-d-eend-im	-NEG-VTR-PFV-3PL-1SG
-in-kar-d-eend-im-aa	-NEG-PFV-3PL-1SG-REM
-in-kar-d-eend-im-ee	-NEG-PFV-3PL-1SG-PRES
-in-kar-d-eend-imaa	-NEG-VTR-PFV-3PL-1PL
-in-kar-d-eend-imaan	-NEG-VTR-PFV-3PL-1PL
-in-kar-d-eend-imaan-aa	-NEG-PFV-3PL-1PL-REM
-in-kar-d-eend-imaan-ee	-NEG-PFV-3PL-1PL-PRES
-in-kar-d-eend-ir	-NEG-VTR-PFV-3PL-2SG
-in-kar-d-eend-ir-aa	-NEG-PFV-3PL-2SG-REM
-in-kar-d-eend-ir-ee	-NEG-PFV-3PL-2SG-PRES
-in-kar-d-eend-iraa	-NEG-VTR-PFV-3PL-2PL
-in-kar-d-eend-iraan	-NEG-VTR-PFV-3PL-2PL
-in-kar-d-eend-iraan-aa	-NEG-PFV-3PL-2PL-REM
-in-kar-d-eend-iraan-ee	-NEG-PFV-3PL-2PL-PRES
-in-kar-d-eend-is	-NEG-VTR-PFV-3PL-3SG
-in-kar-d-eend-is-aa	-NEG-PFV-3PL-3SG-REM
-in-kar-d-eend-is-ee	-NEG-PFV-3PL-3SG-PRES
-in-kar-d-eend-isaa	-NEG-VTR-PFV-3PL-3PL
-in-kar-d-eend-isaan	-NEG-VTR-PFV-3PL-3PL
-in-kar-d-eend-isaan-aa	-NEG-PFV-3PL-3PL-REM
-in-kar-d-eend-isaan-ee	-NEG-PFV-3PL-3PL-PRES
-in-kar-d-ees-im	-NEG-VTR-PFV-2PL-1SG
-in-kar-d-ees-im-aa	-NEG-PFV-2PL-1SG-REM
-in-kar-d-ees-im-ee	-NEG-PFV-2PL-1SG-PRES
-in-kar-d-ees-imaa	-NEG-VTR-PFV-2PL-1PL
-in-kar-d-ees-imaan	-NEG-VTR-PFV-2PL-1PL
-in-kar-d-ees-imaan-aa	-NEG-PFV-2PL-1PL-REM
-in-kar-d-ees-imaan-ee	-NEG-PFV-2PL-1PL-PRES
-in-kar-d-ees-iraa	-NEG-VTR-PFV-2PL-2PL
-in-kar-d-ees-iraan	-NEG-VTR-PFV-2PL-1PL
-in-kar-d-ees-iraan-aa	-NEG-PFV-2PL-1PL-REM
-in-kar-d-ees-iraan-ee	-NEG-PFV-2PL-1PL-PRES
-in-kar-d-ees-is	-NEG-VTR-PFV-2PL-3SG
-in-kar-d-ees-is-aa	-NEG-PFV-2PL-3SG-REM
-in-kar-d-ees-is-ee	-NEG-PFV-2PL-3SG-PRES
-in-kar-d-om-ir	-NEG-VTR-PFV-1SG-2SG
-in-kar-d-om-ir-aa	-NEG-PFV-1SG-2SG-REM
-in-kar-d-om-ir-ee	-NEG-VTR-PFV-1SG-2SG-PRES
-in-kar-d-om-iraa	-NEG-VTR-PFV-1SG-2PL
-in-kar-d-om-iraan	-NEG-VTR-PFV-1SG-2PL
-in-kar-d-om-iraan-aa	-NEG-PFV-1SG-2PL-REM
-in-kar-d-om-iraan-ee	-NEG-VTR-PFV-1SG-2PL-PRES
-in-kar-d-om-is	-NEG-VTR-PFV-1SG-3SG
-in-kar-d-om-is-aa	-NEG-PFV-1SG-3SG-REM
-in-kar-d-om-is-ee	-NEG-VTR-PFV-1SG-3SG-PRES
-in-kar-d-om-isaa	-NEG-VTR-PFV-1SG-3PL
-in-kar-d-om-isaan	-NEG-VTR-PFV-1SG-3PL
-in-kar-d-om-isaan-aa	-NEG-PFV-1SG-3PL-REM
