-à	-GEN/M/OBL.SG
-in-kar-d-os-iraan-aa	-NEG-PFV-3SG-2PL-REM
-in-kar-d-os-iraan-ee	-NEG-VTR-PFV-3SG-2PL-PRES
-in-kar-d-os-is	-NEG-VTR-PFV-3SG-3SG
-in-kar-d-os-is-aa	-NEG-PFV-3SG-3SG-REM
-in-kar-d-os-is-ee	-NEG-VTR-PFV-3SG-3SG-PRES
-in-kar-d-os-isaa	-NEG-VTR-PFV-3SG-3PL
-in-kar-d-os-isaan	-NEG-VTR-PFV-3SG-3PL
-in-kar-d-os-isaan-aa	-NEG-PFV-3SG-3PL-REM
-in-kar-d-os-isaan-ee	-NEG-VTR-PFV-3SG-3PL-PRES
-in-kar-d-os-s	-NEG-VTR-PFV-3SG-3SG
-in-kar-d-os-s-ee	-NEG-VTR-PFV-3SG-3SG-PRES
-in-kar-d-os-san	-NEG-VTR-PFV-3SG-3PL
-in-kar-d-os-san-aa	-NEG-VTR-PFV-3SG-3PL-REM
-in-kar-d-os-san-ee	-NEG-VTR-PFV-3SG-3PL-PRES
-in-keerà	-OBL.PL-BEN
-in-keeree	-OBL.PL-BEN
-in-kii	-OBL.PL-ABL
-in-kee	-OBL.PL-DIR
-in-mà	-OBL.PL-LOC
-in-tà	-OBL.PL-DAT
-ind	-3PL
-iind	-3PL
-ind-aa	-3PL-REM
-ind-ee	-3PL-PRES
-ind-im	-3PL-1SG
-ind-im-aa	-3PL-1SG-REM
-ind-im-ee	-3PL-1SG-PRES
-ind-imaa	-3PL-1PL
-ind-imaan	-3PL-1PL
-ind-imaan-aa	-3PL-1PL-REM
-ind-imaan-ee	-3PL-1PL-PRES
-ind-ir	-3PL-2SG
-ind-ir-aa	-3PL-2SG-REM
-ind-ir-ee	-3PL-2SG-PRES
-ind-iraa	-3PL-2PL
-ind-iraan	-3PL-2PL
-ind-iraan-aa	-3PL-2PL-REM
-ind-iraan-ee	-3PL-2PL-PRES
-ind-is	-3PL-3SG
-ind-is-aa	-3PL-3SG-REM
-ind-s-aa	-3PL-3SG-REM
-ind-is-ee	-3PL-3SG-PRES
-ind-isaa	-3PL-3PL
-ind-isaan	-3PL-3PL
-ind-isaan-aa	-3PL-3PL-REM
-ind-isaan-ee	-3PL-3PL-PRES
-nd-aa	-3PL-REM
-nd-ee	-3PL-PRES
-nd-im	-3PL-1SG
-nd-im-aa	-3PL-1SG-REM
-nd-im-ee	-3PL-1SG-PRES
-nd-imaa	-3PL-1PL
-nd-imaan	-3PL-1PL
-nd-imaan-aa	-3PL-1PL-REM
-nd-imaan-ee	-3PL-1PL-PRES
-nd-ir	-3PL-2SG
-nd-ir-aa	-3PL-2SG-REM
-nd-ir-ee	-3PL-2SG-PRES
-nd-iraa	-3PL-2PL
-nd-iraan	-3PL-2PL
-nd-iraan-aa	-3PL-2PL-REM
-nd-iraan-ee	-3PL-2PL-PRES
-nd-is	-3PL-3SG
-nd-is-aa	-3PL-3SG-REM
-nd-s-aa	-3PL-3SG-REM
-nd-is-ee	-3PL-3SG-PRES
-nd-isaa	-3PL-3PL
-nd-isaan	-3PL-3PL
-nd-isaan-aa	-3PL-3PL-REM
-nd-isaan-ee	-3PL-3PL-PRES
-ir	-2SG/3SG
-ir-à	-PFV-3SG
-ir-aa	-3SG-REM/-PFV-REM
-ir-ee	-3SG-PRES
-ir-een	-PFV-1PL
-ir-een-aa	-PFV-1PL-REM
-ir-een-ee	-PFV-1PL-PRES
-ir-eend	-PFV-3PL
-ir-eend-aa	-PFV-3PL-REM
-ir-eend-ee	-PFV-3PL-PRES
-ir-ees	-PFV-2PL
-ir-ees-aa	-PFV-2PL-REM
-ir-ees-ee	-PFV-2PL-PRES
-ir-im	-3SG-1SG
-ir-im-aa	-3SG-1SG-REM
-ir-im-ee	-3SG-1SG-PRES
-ir-imaa	-3SG-1PL
-ir-imaan	-3SG-1PL
-ir-imaan-aa	-3SG-1PL-REM
-ir-imaan-ee	-3SG-1PL-PRES
-ir-ir	-3SG-2SG
-ir-ir-aa	-3SG-2SG-REM
-ir-ir-ee	-3SG-2SG-PRES
-ir-iraa	-3SG-2PL
-ir-iraan	-3SG-2PL
-ir-iraan-aa	-3SG-2PL-REM
-ir-iraan-ee	-3SG-2PL-PRES
-ir-is	-3SG-3SG
-ir-is-aa	-3SG-3SG-REM
-ir-is-ee	-3SG-3SG-PRES
-ir-isaa	-3SG-3PL
-ir-isaan	-3SG-3PL
-ir-isaan-aa	-3SG-3PL-REM
-ir-isaan-ee	-3SG-3PL-PRES
-ir-m-aa	-3SG-1SG-REM
-ir-m-ee	-3SG-1SG-PRES
-ir-maan-aa	-3SG-1PL-REM
-ir-maan-ee	-3SG-1PL-PRES
-ir-om	-PFV-1SG
-ir-om-aa	-PFV-1SG-REM
-ir-om-ee	-PFV-1SG-PRES
-ir-or	-PFV-2SG
-ir-or-aa	-PFV-2SG-REM
-ir-or-ee	-PFV-2SG-PRES
-ir-os	-PFV-3SG
-ir-os-ee	-PFV-3SG-PRES
-ir-r-aa	-3SG-2SG-REM
-ir-r-ee	-3SG-2SG-PRES
-ir-raan-aa	-3SG-2PL-REM
-ir-raan-ee	-3SG-2PL-PRES
-ir-s-aa	-3SG-3SG-REM
-ir-s-ee	-3SG-3SG-PRES
-ir-saan	-3SG-3PL
-ir-saan-aa	-3SG-3PL-REM
-ir-saan-ee	-3SG-3PL-PRES
-iraan	-2PL
-ird-à	-PFV-3SG
-ird-aa	-PFV-REM
-ird-ee	-PFV-PRES
-ird-een	-PFV-1PL
-ird-een-aa	-PFV-1PL-REM
-ird-een-ee	-PFV-1PL-PRES
-ird-een-ir	-PFV-1PL-2SG
-ird-een-ir-aa	-PFV-1PL-2SG-REM
-ird-een-ir-ee	-PFV-1PL-2SG-PRES
-ird-een-iraa	-PFV-1PL-2PL
-ird-een-iraan	-PFV-1PL-2PL
-ird-een-iraan-aa	-PFV-1PL-2PL-REM
-ird-een-iraan-ee	-PFV-1PL-2PL-PRES
-ird-een-is	-PFV-1PL-3SG
-ird-een-is-aa	-PFV-1PL-3SG-REM
-ird-een-is-ee	-PFV-1PL-3SG-PRES
-ird-een-s-ee	-PFV-1PL-3SG-PRES
-ird-een-isaa	-PFV-1PL-3PL
-ird-een-isaan	-PFV-1PL-3PL
-ird-een-isaan-aa	-PFV-1PL-3PL-REM
-ird-een-isaan-ee	-PFV-1PL-3PL-PRES
-ird-eend	-PFV-3PL
-ird-eend-aa	-PFV-3PL-REM
-ird-eend-ee	-PFV-3PL-PRES
-ird-eend-im	-PFV-3PL-1SG
-ird-eend-im-aa	-PFV-3PL-1SG-REM
-ird-eend-im-ee	-PFV-3PL-1SG-PRES
-ird-eend-imaa	-PFV-3PL-1PL
-ird-eend-imaan	-PFV-3PL-1PL
-ird-eend-imaan-aa	-PFV-3PL-1PL-REM
-ird-eend-imaan-ee	-PFV-3PL-1PL-PRES
-ird-eend-ir	-PFV-3PL-2SG
-ird-eend-ir-aa	-PFV-3PL-2SG-REM
-ird-eend-ir-ee	-PFV-3PL-2SG-PRES
-ird-eend-iraa	-PFV-3PL-2PL
-ird-eend-iraan	-PFV-3PL-2PL
-ird-eend-iraan-aa	-PFV-3PL-2PL-REM
-ird-eend-iraan-ee	-PFV-3PL-2PL-PRES
-ird-eend-is	-PFV-3PL-3SG
-ird-eend-is-aa	-PFV-3PL-3SG-REM
-ird-eend-is-ee	-PFV-3PL-3SG-PRES
-ird-eend-isaa	-PFV-3PL-3PL
-ird-eend-isaan	-PFV-3PL-3PL
-ird-eend-isaan-aa	-PFV-3PL-3PL-REM
-ird-eend-isaan-ee	-PFV-3PL-3PL-PRES
-ird-ees	-PFV-2PL
-ird-ees-aa	-PFV-2PL-REM
-ird-ees-ee	-PFV-2PL-PRES
-ird-ees-im	-PFV-2PL-1SG
-ird-ees-im-aa	-PFV-2PL-1SG-REM
-ird-ees-im-ee	-PFV-2PL-1SG-PRES
-ird-ees-imaa	-PFV-2PL-1PL
-ird-ees-imaan	-PFV-2PL-1PL
-ird-ees-imaan-aa	-PFV-2PL-1PL-REM
-ird-ees-imaan-ee	-PFV-2PL-1PL-PRES
-ird-ees-iraa	-PFV-2PL-2PL
-ird-ees-iraan	-PFV-2PL-1PL
-ird-ees-iraan-aa	-PFV-2PL-1PL-REM
-ird-ees-iraan-ee	-PFV-2PL-1PL-PRES
-ird-ees-is	-PFV-2PL-3SG
-ird-ees-is-aa	-PFV-2PL-3SG-REM
-ird-ees-is-ee	-PFV-2PL-3SG-PRES
-ird-om	-PFV-1SG
-ird-om-aa	-PFV-1SG-REM
-ird-om-ee	-PFV-1SG-PRES
-ird-om-ir	-PFV-1SG-2SG
-ird-om-ir-aa	-PFV-1SG-2SG-REM
-ird-om-ir-ee	-PFV-1SG-2SG-PRES
-ird-om-iraa	-PFV-1SG-2PL
-ird-om-iraan	-PFV-1SG-2PL
-ird-om-iraan-aa	-PFV-1SG-2PL-REM
-ird-om-iraan-ee	-PFV-1SG-2PL-PRES
-ird-om-is	-PFV-1SG-3SG
-ird-om-is-aa	-PFV-1SG-3SG-REM
-ird-om-is-ee	-PFV-1SG-3SG-PRES
-ird-om-isaa	-PFV-1SG-3PL
-ird-om-isaan	-PFV-1SG-3PL
-ird-om-isaan-aa	-PFV-1SG-3PL-REM
-ird-om-isaan-ee	-PFV-1SG-3PL-PRES
-ird-or	-PFV-2SG
-ird-or-aa	-PFV-2SG-REM
-ird-or-ee	-PFV-2SG-PRES
-ird-or-im	-PFV-2SG-1SG
-ird-or-im-aa	-PFV-2SG-1SG-REM
-ird-or-im-ee	-PFV-2SG-1SG-PRES
-ird-or-imaa	-PFV-2SG-1PL
-ird-or-imaan	-PFV-2SG-1PL
-ird-or-imaan-aa	-PFV-2SG-1PL-REM
-ird-or-imaan-ee	-PFV-2SG-1PL-PRES
-ird-or-is	-PFV-2SG-3SG
-ird-or-is-aa	-PFV-2SG-3SG-REM
-ird-or-is-ee	-PFV-2SG-3SG-PRES
-ird-or-isaa	-PFV-2SG-3PL
-ird-or-isaan	-PFV-2SG-3PL
-ird-or-isaan-aa	-PFV-2SG-3PL-REM
-ird-or-isaan-ee	-PFV-2SG-3PL-PRES
-ird-os	-PFV-3SG
-ird-os-im	-PFV-3SG-1SG
-ird-os-im-aa	-PFV-3SG-1SG-REM
-ird-os-im-ee	-PFV-3SG-1SG-PRES
-ird-os-imaa	-PFV-3SG-1PL
-ird-os-imaan	-PFV-3SG-1PL
-ird-os-imaan-aa	-PFV-3SG-1PL-REM
-ird-os-imaan-ee	-PFV-3SG-1PL-PRES
-ird-os-ir	-PFV-3SG-2SG
-ird-os-ir-aa	-PFV-3SG-2SG-REM
-ird-os-ir-ee	-PFV-3SG-2SG-PRES
-ird-os-iraa	-PFV-3SG-2PL
-ird-os-iraan	-PFV-3SG-2PL
-ird-os-iraan-aa	-PFV-3SG-2PL-REM
-ird-os-iraan-ee	-PFV-3SG-2PL-PRES
-ird-os-is	-PFV-3SG-3SG
-ird-os-is-aa	-PFV-3SG-3SG-REM
-ird-os-is-ee	-PFV-3SG-3SG-PRES
-ird-os-isaa	-PFV-3SG-3PL
-ird-os-isaan	-PFV-3SG-3PL
-ird-os-isaan-aa	-PFV-3SG-3PL-REM
-ird-os-isaan-ee	-PFV-3SG-3PL-PRES
-ird-os-s	-PFV-3SG-3SG
-ird-os-s-aa	-PFV-3SG-3SG-REM
-ird-os-s-ee	-PFV-3SG-3SG-PRES
-is	-3SG/2PL/OBL.SG/2PL.IMP
-iš	-DER
-is-ee	-2PL-PRES
-s-ee	-2PL-PRES
-is-aa	-2PL-REM
-is-m	-3SG-1SG
-is-m-aa	-3SG-1SG-REM
-is-m-ee	-3SG-1SG-PRES
-is-maan	-3SG-1PL
-is-maan-aa	-3SG-1PL-REM
-is-maan-ee	-3SG-1PL-PRES
-is-r	-3SG-2SG
-is-r-aa	-3SG-2SG-REM
-is-r-ee	-3SG-2SG-PRES
-is-raan	-3SG-2PL
-is-raan-aa	-3SG-2PL-REM
-is-raan-ee	-3SG-2PL-PRES
-is-s	-3SG-3SG
-is-s-aa	-3SG-3SG-REM
-is-s-ee	-3SG-3SG-PRES
-is-saan	-3SG-3PL
-is-saan-aa	-3SG-3PL-REM
-is-saan-ee	-3SG-3PL-PRES
-isaa	-SOC/COND/3PL
-isaan	-2PL
-išii	-too
-išš-aa	-SUBJ-2SG
-išš-aa-ee	-SUBJ-2SG-PRES
-išš-im	-SUBJ-1SG
-išš-im-ee	-SUBJ-1SG-PRES
-išš-in	-SUBJ-1PL
-išš-in-ee	-SUBJ-1PL-PRES
-išš-ind	-SUBJ-3PL
-išš-ind-ee	-SUBJ-3PL-PRES
-išš-ir	-SUBJ-3SG
-išš-ir-ee	-SUBJ-3SG-PRES
-išš-is	-SUBJ-2PL
-išš-is-ee	-SUBJ-2PL-PRES
-išt-aa	-COP/PROG-REM
-išt-ee	-COP/PROG-PRES
-išt-im-ir-aa	-PROG-1SG-2SG-REM
-išt-im-ir-ee	-PROG-1SG-2SG-PRES
-išt-im-iraan-aa	-PROG-1SG-2PL-REM
-išt-im-iraan-ee	-PROG-1SG-2PL-PRES
-išt-im-is-aa	-PROG-1SG-3SG-REM
-išt-im-is-ee	-PROG-1SG-3SG-PRES
-išt-im-isaan-aa	-PROG-1SG-3PL-REM
-išt-im-isaan-ee	-PROG-1SG-3PL-PRES
-išt-im-r-aa	-PROG-1SG-2SG-REM
-išt-im-r-ee	-PROG-1SG-2SG-PRES
-išt-im-raan-aa	-PROG-1SG-2PL-REM
-išt-im-raan-ee	-PROG-1SG-2PL-PRES
-išt-im-s-aa	-PROG-1SG-3SG-REM
-išt-im-s-ee	-PROG-1SG-3SG-PRES
-išt-im-saan-aa	-PROG-1SG-3PL-REM
-išt-im-saan-ee	-PROG-1SG-3PL-PRES
-išt-ind	-COP/PROG-3PL
-išt-ind-aa	-COP/PROG-3PL-REM
-išt-ind-ee	-COP/PROG-3PL-PRES
-išt-innd-ee	-COP/PROG-3PL-PRES
-išt-ind-im-aa	-PROG-3PL-1SG-REM
-išt-ind-im-ee	-PROG-3PL-1SG-PRES
-išt-ind-imaan-aa	-PROG-3PL-1PL-REM
-išt-ind-imaan-ee	-PROG-3PL-1PL-PRES
-išt-ind-ir-aa	-PROG-3PL-2SG-REM
-išt-ind-ir-ee	-PROG-3PL-2SG-PRES
-išt-ind-iraan-aa	-PROG-3PL-2PL-REM
-išt-ind-iraan-ee	-PROG-3PL-2PL-PRES
-išt-ind-is-aa	-PROG-3PL-3SG-REM
-išt-ind-is-ee	-PROG-3PL-3SG-PRES
-išt-ind-isaan-aa	-PROG-3PL-3PL-REM
-išt-ind-isaan-ee	-PROG-3PL-3PL-PRES
-išt-inn	-COP/PRGO-1PL
-išt-inn-aa	-COP/PROG-1PL-REM
-išt-inn-ee	-COP/PROG-1PL-PRES
-išt-ir-im-aa	-PROG-3SG-1SG-REM
-išt-ir-im-ee	-PROG-3SG-1SG-PRES
-išt-ir-imaan-aa	-PROG-3SG-1PL-REM
-išt-ir-imaan-ee	-PROG-3SG-1PL-PRES
-išt-ir-ir-aa	-PROG-3SG-2SG-REM
-išt-ir-ir-ee	-PROG-3SG-2SG-PRES
-išt-ir-iraan-aa	-PROG-3SG-2PL-REM
-išt-ir-iraan-ee	-PROG-3SG-2PL-PRES
-išt-ir-is-aa	-PROG-3SG-3SG-REM
-išt-ir-is-ee	-PROG-3SG-3SG-PRES
-išt-ir-isaan-aa	-PROG-3SG-3PL-REM
-išt-ir-isaan-ee	-PROG-3SG-3PL-PRES
-išt-ir-m-aa	-PROG-3SG-1SG-REM
-išt-ir-m-ee	-PROG-3SG-1SG-PRES
-išt-ir-maan-aa	-PROG-3SG-1PL-REM
-išt-ir-maan-ee	-PROG-3SG-1PL-PRES
-išt-ir-r-aa	-PROG-3SG-2SG-REM
-išt-ir-r-ee	-PROG-3SG-2SG-PRES
-išt-ir-raan-aa	-PROG-3SG-2PL-REM
-išt-ir-raan-ee	-PROG-3SG-2PL-PRES
-išt-ir-s-aa	-PROG-3SG-3SG-REM
-išt-ir-s-ee	-PROG-3SG-3SG-PRES
-išt-ir-saan-aa	-PROG-3SG-3PL-REM
-išt-ir-saan-ee	-PROG-3SG-3PL-PRES
-išt-is-m	-PROG-3SG-1SG
-išt-is-m-aa	-PROG-3SG-1SG-REM
-išt-is-m-ee	-PROG-3SG-1SG-PRES
-išt-is-maan	-PROG-3SG-1PL
-išt-is-maan-aa	-PROG-3SG-1PL-REM
-išt-is-maan-ee	-PROG-3SG-1PL-PRES
-išt-is-r	-PROG-3SG-2SG
-išt-is-r-aa	-PROG-3SG-2SG-REM
-išt-is-r-ee	-PROG-3SG-2SG-PRES
-išt-is-raan	-PROG-3SG-2PL
-išt-is-raan-aa	-PROG-3SG-2PL-REM
-išt-is-raan-ee	-PROG-3SG-2PL-PRES
-išt-is-s	-PROG-3SG-3SG
-išt-is-s-aa	-PROG-3SG-3SG-REM
-išt-is-s-ee	-PROG-3SG-3SG-PRES
-išt-is-saan	-PROG-3SG-3PL
-išt-is-saan-aa	-PROG-3SG-3PL-REM
-išt-is-saan-ee	-PROG-3SG-3PL-PRES
-išt-iss	-COP/PROG-2PL
-išt-iss-aa	-COP/PROG-2PL-REM
-išt-iss-ee	-COP/PROG-2PL-PRES
-išt-m-ir-aa	-PROG-1SG-2SG-REM
-išt-m-ir-ee	-PROG-1SG-2SG-PRES
-išt-m-iraan-aa	-PROG-1SG-2PL-REM
-išt-m-iraan-ee	-PROG-1SG-2PL-PRES
-išt-m-is-aa	-PROG-1SG-3SG-REM
-išt-m-is-ee	-PROG-1SG-3SG-PRES
-išt-m-isaan-aa	-PROG-1SG-3PL-REM
-išt-m-isaan-ee	-PROG-1SG-3PL-PRES
-išt-om	-COP/PROG-1SG
-išt-om-aa	-COP/PROG-1SG-REM
-išt-om-ee	-COP/PROG-1SG-PRES
-išt-om-ir-aa	-PROG-1SG-2SG-REM
-išt-om-ir-ee	-PROG-1SG-2SG-PRES
-išt-om-iraan-aa	-PROG-1SG-2PL-REM
-išt-om-iraan-ee	-PROG-1SG-2PL-PRES
-išt-om-is-aa	-PROG-1SG-3SG-REM
-išt-om-is-ee	-PROG-1SG-3SG-PRES
-išt-om-isaan-aa	-PROG-1SG-3PL-REM
-išt-om-isaan-ee	-PROG-1SG-3PL-PRES
-išt-or	-COP/PROG-2SG
-išt-or-aa	-COP/PROG-2SG-REM
-išt-or-ee	-COP/PROG-2SG-PRES
-išt-or-im	-PROG-2SG-1SG
-išt-or-im-aa	-PROG-2SG-1SG-REM
-išt-or-im-ee	-PROG-2SG-1SG-PRES
-išt-or-imaa	-PROG-2SG-1PL
-išt-or-imaan	-PROG-2SG-1PL
-išt-or-imaan-aa	-PROG-2SG-1PL-REM
-išt-or-imaan-ee	-PROG-2SG-1PL-PRES
-išt-or-is	-PROG-2SG-3SG
-išt-or-is-aa	-PROG-2SG-3SG-REM
-išt-or-is-ee	-PROG-2SG-3SG-PRES
-išt-or-isaa	-PROG-2SG-3PL
-išt-or-isaan	-PROG-2SG-3PL
-išt-or-isaan-aa	-PROG-2SG-3PL-REM
-išt-or-isaan-ee	-PROG-2SG-3PL-PRES
-išt-or-m-aa	-PROG-2SG-1SG-REM
-išt-or-m-ee	-PROG-2SG-1SG-PRES
-išt-or-maan-aa	-PROG-2SG-1PL-REM
-išt-or-maan-ee	-PROG-2SG-1PL-PRES
-išt-or-s-aa	-PROG-2SG-3SG-REM
-išt-or-s-ee	-PROG-2SG-3SG-PRES
-išt-or-saan-aa	-PROG-2SG-3PL-REM
-išt-or-saan-ee	-PROG-2SG-3PL-PRES
-išt-r-im-aa	-PROG-3SG-1SG-REM
-išt-r-im-ee	-PROG-3SG-1SG-PRES
-išt-r-imaan-aa	-PROG-3SG-1PL-REM
-išt-r-imaan-ee	-PROG-3SG-1PL-PRES
-išt-r-ir-aa	-PROG-3SG-2SG-REM
-išt-r-ir-ee	-PROG-3SG-2SG-PRES
-išt-r-iraan-aa	-PROG-3SG-2PL-REM
-išt-r-iraan-ee	-PROG-3SG-2PL-PRES
-išt-r-is-aa	-PROG-3SG-3SG-REM
-išt-r-is-ee	-PROG-3SG-3SG-PRES
-išt-r-isaan-aa	-PROG-3SG-3PL-REM
-išt-r-isaan-ee	-PROG-3SG-3PL-PRES
-it	-DAT
-ità	-DAT
-itaa	-DAT
-itee	-DAT
-tee	-DAT
-iva	-VERS
-ivaa	-VERS
-k-r-à	-VTR-PFV-3SG
-k-r-aa	-VTR-PFV-REM
-k-r-ee	-VTR-3SG-PRES/-PFV-PRES
-k-r-een	-VTR-PFV-1PL
-k-r-een-aa	-VTR-PFV-1PL-REM
-k-r-eend	-VTR-PFV-3PL
-k-r-eend-aa	-VTR-PFV-3PL-REM
-k-r-ees	-VTR-PFV-2PL
-k-r-ees-aa	-VTR-PFV-2PL-REM
-k-r-om	-VTR-PFV-1SG
-k-r-om-aa	-VTR-PFV-1SG-REM
-k-r-om-ee	-VTR-PFV-1SG-PRES
-k-r-oom-ee	-VTR-PFV-1SG-PRES
-k-r-or	-VTR-PFV-2SG
-k-r-or-aa	-VTR-PFV-2SG-REM
-k-r-os	-VTR-PFV-3SG
-ka	-FUT/with/DIR
-kà	-DIR
-ka-š-aa-ee	-VTR-PROG-2SG-PRES
-ka-š-im-ee	-VTR-PROG-1SG-PRES
-ka-š-in-ee	-VTR-PROG-1PL-PRES
-ka-š-ind-ee	-VTR-PROG-3PL-PRES
-ka-š-ir-ee	-VTR-PROG-3SG-PRES
-ka-š-is-ee	-VTR-PROG-2PL-PRES
-ka-št	VTR-PROG
-ka-št-aa	-VTR-PROG-REM
-ka-št-ee	-VTR-PROG-PRES
-ka-št-im-ir-aa	-VTR-PROG-1SG-2SG-REM
-ka-št-im-ir-ee	-VTR-PROG-1SG-2SG-PRES
-ka-št-im-iraan-aa	-VTR-PROG-1SG-2PL-REM
-ka-št-im-iraan-ee	-VTR-PROG-1SG-2PL-PRES
-ka-št-im-is-aa	-VTR-PROG-1SG-3SG-REM
-ka-št-im-is-ee	-VTR-PROG-1SG-3SG-PRES
-ka-št-im-isaan-aa	-VTR-PROG-1SG-3PL-REM
-ka-št-im-isaan-ee	-VTR-PROG-1SG-3PL-PRES
-ka-št-im-r-aa	-VTR-PROG-1SG-2SG-REM
-ka-št-im-r-ee	-VTR-PROG-1SG-2SG-PRES
-ka-št-im-raan-aa	-VTR-PROG-1SG-2PL-REM
-ka-št-im-raan-ee	-VTR-PROG-1SG-2PL-PRES
-ka-št-im-s-aa	-VTR-PROG-1SG-3SG-REM
-ka-št-im-s-ee	-VTR-PROG-1SG-3SG-PRES
-ka-št-im-saan-aa	-VTR-PROG-1SG-3PL-REM
-ka-št-im-saan-ee	-VTR-PROG-1SG-3PL-PRES
-ka-št-ind	-VTR-PROG-3PL
-ka-št-ind-aa	-VTR-PROG-3PL-REM
-ka-št-ind-ee	-VTR-PROG-3PL-PRES
-ka-št-ind-im-aa	-VTR-PROG-3PL-1SG-REM
-ka-št-ind-im-ee	-VTR-PROG-3PL-1SG-PRES
-ka-št-ind-imaan-aa	-VTR-PROG-3PL-1PL-REM
-ka-št-ind-imaan-ee	-VTR-PROG-3PL-1PL-PRES
-ka-št-ind-ir-aa	-VTR-PROG-3PL-2SG-REM
-ka-št-ind-ir-ee	-VTR-PROG-3PL-2SG-PRES
-ka-št-ind-iraan-aa	-VTR-PROG-3PL-2PL-REM
-ka-št-ind-iraan-ee	-VTR-PROG-3PL-2PL-PRES
-ka-št-ind-is-aa	-VTR-PROG-3PL-3SG-REM
-ka-št-ind-is-ee	-VTR-PROG-3PL-3SG-PRES
-ka-št-ind-isaan-aa	-VTR-PROG-3PL-3PL-REM
-ka-št-ind-isaan-ee	-VTR-PROG-3PL-3PL-PRES
-ka-št-inn	-VTR-PROG-1PL
-ka-št-inn-aa	-VTR-PROG-1PL-REM
-ka-št-inn-ee	-VTR-PROG-1PL-PRES
-ka-št-ir-im-aa	-VTR-PROG-3SG-1SG-REM
-ka-št-ir-im-ee	-VTR-PROG-3SG-1SG-PRES
-ka-št-ir-imaan-aa	-VTR-PROG-3SG-1PL-REM
-ka-št-ir-imaan-ee	-VTR-PROG-3SG-1PL-PRES
-ka-št-ir-ir-aa	-VTR-PROG-3SG-2SG-REM
-ka-št-ir-ir-ee	-VTR-PROG-3SG-2SG-PRES
-ka-št-ir-iraan-aa	-VTR-PROG-3SG-2PL-REM
-ka-št-ir-iraan-ee	-VTR-PROG-3SG-2PL-PRES
-ka-št-ir-is-aa	-VTR-PROG-3SG-3SG-REM
-ka-št-ir-is-ee	-VTR-PROG-3SG-3SG-PRES
-ka-št-ir-isaan-aa	-VTR-PROG-3SG-3PL-REM
-ka-št-ir-isaan-ee	-VTR-PROG-3SG-3PL-PRES
-ka-št-ir-m-aa	-VTR-PROG-3SG-1SG-REM
-ka-št-ir-m-ee	-VTR-PROG-3SG-1SG-PRES
-ka-št-ir-maan-aa	-VTR-PROG-3SG-1PL-REM
-ka-št-ir-maan-ee	-VTR-PROG-3SG-1PL-PRES
-ka-št-ir-r-aa	-VTR-PROG-3SG-2SG-REM
-ka-št-ir-r-ee	-VTR-PROG-3SG-2SG-PRES
-ka-št-ir-raan-aa	-VTR-PROG-3SG-2PL-REM
-ka-št-ir-raan-ee	-VTR-PROG-3SG-2PL-PRES
-ka-št-ir-s-aa	-VTR-PROG-3SG-3SG-REM
-ka-št-ir-s-ee	-VTR-PROG-3SG-3SG-PRES
-ka-št-ir-saa	-VTR-PROG-3SG-3PL
-ka-št-ir-saan-aa	-VTR-PROG-3SG-3PL-REM
-ka-št-ir-saan-ee	-VTR-PROG-3SG-3PL-PRES
-ka-št-is-m	-VTR-PROG-3SG-1SG
-ka-št-is-m-aa	-VTR-PROG-3SG-1SG-REM
-ka-št-is-m-ee	-VTR-PROG-3SG-1SG-PRES
-ka-št-is-maan	-VTR-PROG-3SG-1PL
-ka-št-is-maan-aa	-VTR-PROG-3SG-1PL-REM
-ka-št-is-maan-ee	-VTR-PROG-3SG-1PL-PRES
-ka-št-is-r	-VTR-PROG-3SG-2SG
-ka-št-is-r-aa	-VTR-PROG-3SG-2SG-REM
-ka-št-is-r-ee	-VTR-PROG-3SG-2SG-PRES
-ka-št-is-raan	-VTR-PROG-3SG-2PL
-ka-št-is-raan-aa	-VTR-PROG-3SG-2PL-REM
-ka-št-is-raan-ee	-VTR-PROG-3SG-2PL-PRES
-ka-št-is-s	-VTR-PROG-3SG-3SG
-ka-št-is-s-aa	-VTR-PROG-3SG-3SG-REM
-ka-št-is-s-ee	-VTR-PROG-3SG-3SG-PRES
-ka-št-is-saan	-VTR-PROG-3SG-3PL
-ka-št-is-saan-aa	-VTR-PROG-3SG-3PL-REM
-ka-št-is-saan-ee	-VTR-PROG-3SG-3PL-PRES
-ka-št-iss	-VTR-PROG-2PL
-ka-št-iss-aa	-VTR-PROG-2PL-REM
-ka-št-iss-ee	-VTR-PROG-2PL-PRES
-ka-št-m-ir-aa	-VTR-PROG-1SG-2SG-REM
-ka-št-m-ir-ee	-VTR-PROG-1SG-2SG-PRES
-ka-št-m-iraan-aa	-VTR-PROG-1SG-2PL-REM
-ka-št-m-iraan-ee	-VTR-PROG-1SG-2PL-PRES
-ka-št-m-is-aa	-VTR-PROG-1SG-3SG-REM
-ka-št-m-is-ee	-VTR-PROG-1SG-3SG-PRES
-ka-št-m-isaan-aa	-VTR-PROG-1SG-3PL-REM
-ka-št-m-isaan-ee	-VTR-PROG-1SG-3PL-PRES
-ka-št-om	-VTR-PROG-1SG
-ka-št-om-aa	-VTR-PROG-1SG-REM
-ka-št-om-a	-VTR-PROG-1SG-REM
-ka-št-om-ee	-VTR-PROG-1SG-PRES
